tecnologia,mcc,net,operador,lac,cellid,latitud,longitud,cobertura,fecha,id
UMTS,736,3,Tigo,37800,7247000,-17.392457,-66.163499,1053,2019-05-17 18:14:44+00:00,151528
UMTS,736,3,Tigo,37800,7246998,-17.38114,-66.16785,7311,2019-05-30 19:28:51+00:00,151527
UMTS,736,3,Tigo,37800,7237000,-17.393683,-66.152274,1323,2019-06-04 12:51:06+00:00,151526
UMTS,736,3,Tigo,37800,7238172,-17.382059,-66.168054,1944,2019-05-17 09:57:54+00:00,151525
UMTS,736,3,Tigo,37800,7226998,-17.388926,-66.155792,1442,2019-05-31 18:04:20+00:00,151524
UMTS,736,3,Tigo,37800,7236963,-17.391772,-66.156064,4689,2019-05-16 12:43:27+00:00,151523
LTE,736,3,Tigo,47461,20534278,-17.391079,-66.149611,4051,2019-05-16 12:43:32+00:00,151522
UMTS,736,3,Tigo,37800,7237038,-17.390262,-66.141083,3247,2019-05-16 12:42:44+00:00,151521
LTE,736,3,Tigo,47461,20497158,-17.384431,-66.158833,6508,2019-08-05 23:23:06+00:00,151520
UMTS,736,3,Tigo,37800,7246963,-17.387688,-66.164226,6645,2019-05-15 11:34:10+00:00,151519
UMTS,736,3,Tigo,37800,7247963,-17.387812,-66.163134,6694,2019-05-25 14:48:30+00:00,151518
UMTS,736,3,Tigo,37803,7237063,-17.376751,-66.163308,4536,2019-06-07 22:56:26+00:00,151517
GSM,736,3,Tigo,27451,24103,-17.387635,-66.163874,3324,2019-05-13 13:31:19+00:00,151516
UMTS,736,3,Tigo,37800,7248001,-17.393677,-66.171131,5985,2019-05-13 08:40:56+00:00,151515
UMTS,736,3,Tigo,37800,7237963,-17.39266,-66.157212,1000,2019-05-11 12:04:53+00:00,151514
LTE,736,3,Tigo,47461,20480774,-17.393521,-66.161185,7343,2019-05-11 11:10:11+00:00,151513
LTE,736,3,Tigo,47461,20544006,-17.386509,-66.157604,6749,2019-06-04 11:41:21+00:00,151512
UMTS,736,3,Tigo,37800,7227168,-17.391908,-66.173716,1808,2019-05-30 18:04:13+00:00,151511
UMTS,736,3,Tigo,37800,7237168,-17.387894,-66.171938,1000,2019-05-09 17:15:48+00:00,151510
LTE,736,3,Tigo,47461,20533764,-17.391259,-66.150681,4832,2019-05-09 08:07:23+00:00,151509
LTE,736,3,Tigo,47461,20488710,-17.393882,-66.150611,4540,2019-07-17 07:52:59+00:00,151508
LTE,736,3,Tigo,47461,20534277,-17.394982,-66.158323,1143,2019-06-05 12:06:40+00:00,151507
LTE,736,3,Tigo,47461,20489732,-17.395207,-66.164408,2087,2019-05-09 07:53:34+00:00,151506
LTE,736,3,Tigo,47461,20489734,-17.388176,-66.169863,6564,2019-05-13 08:39:54+00:00,151505
LTE,736,3,Tigo,47461,20544004,-17.387731,-66.169669,6428,2019-05-13 08:39:54+00:00,151504
LTE,736,3,Tigo,47461,20480772,-17.387844,-66.160894,5685,2019-05-24 16:22:45+00:00,151503
LTE,736,3,Tigo,47461,20530181,-17.380892,-66.160638,6075,2019-08-05 14:10:37+00:00,151502
LTE,736,3,Tigo,47461,20494852,-17.377755,-66.164903,5587,2019-07-14 19:27:17+00:00,151501
UMTS,736,3,Tigo,37800,7272965,-17.394905,-66.15231,2324,2019-08-02 15:49:36+00:00,151500
UMTS,736,3,Tigo,37800,7253103,-17.378989,-66.157336,2889,2019-06-07 09:51:47+00:00,151499
UMTS,736,3,Tigo,37800,7273012,-17.391409,-66.15356,1000,2019-05-05 10:09:35+00:00,151498
UMTS,736,3,Tigo,37800,7238111,-17.392782,-66.150965,2887,2019-05-25 09:22:36+00:00,151497
UMTS,736,3,Tigo,37800,7253057,-17.391142,-66.156801,3554,2019-06-07 11:10:22+00:00,151496
LTE,736,3,Tigo,47460,20512516,-17.376578,-66.169204,3453,2019-07-17 11:56:04+00:00,151495
LTE,736,3,Tigo,47460,20511236,-17.377807,-66.164854,5587,2019-05-03 15:29:25+00:00,151494
UMTS,736,3,Tigo,37800,7236968,-17.383267,-66.156745,3143,2019-07-27 11:29:19+00:00,151493
LTE,736,3,Tigo,47461,20482053,-17.379303,-66.155568,7487,2019-08-09 18:30:06+00:00,151492
LTE,736,3,Tigo,47461,20497156,-17.385396,-66.157396,6631,2019-08-04 22:38:44+00:00,151491
LTE,736,3,Tigo,47461,20500230,-17.388484,-66.152856,5161,2019-05-03 16:27:20+00:00,151490
LTE,736,3,Tigo,47461,20533765,-17.391362,-66.151549,1217,2019-07-17 05:29:29+00:00,151489
LTE,736,3,Tigo,47461,20497157,-17.388683,-66.156455,3624,2019-08-09 13:06:38+00:00,151488
LTE,736,3,Tigo,47461,20516613,-17.376937,-66.158972,2556,2019-07-29 19:25:42+00:00,151487
LTE,736,3,Tigo,47461,20530180,-17.382248,-66.158567,7146,2019-08-04 22:38:45+00:00,151486
UMTS,736,3,Tigo,37800,7263172,-17.395005,-66.147258,1000,2019-05-03 13:51:23+00:00,151485
LTE,736,3,Tigo,47461,20530182,-17.382292,-66.160892,7139,2019-07-23 20:45:03+00:00,151484
GSM,736,3,Tigo,27460,14004,-17.37731,-66.16027,1698,2019-06-07 22:55:34+00:00,151483
LTE,736,3,Tigo,47461,20508932,-17.389734,-66.152354,5891,2019-05-09 07:28:56+00:00,151482
UMTS,736,3,Tigo,37800,7227994,-17.38197,-66.151123,3681,2019-08-09 15:18:08+00:00,151481
UMTS,736,3,Tigo,37800,7252994,-17.38302,-66.148489,3834,2019-08-09 15:29:08+00:00,151480
UMTS,736,3,Tigo,37800,7263103,-17.376863,-66.159981,1000,2019-07-23 21:14:01+00:00,151479
LTE,736,3,Tigo,47461,20500229,-17.385647,-66.150359,1000,2019-06-28 15:53:52+00:00,151478
LTE,736,3,Tigo,47461,20518661,-17.380186,-66.145122,1777,2019-04-14 12:50:01+00:00,151477
LTE,736,3,Tigo,47461,20500228,-17.384739,-66.151597,5562,2019-07-27 11:28:22+00:00,151476
UMTS,736,3,Tigo,37800,7238027,-17.3885,-66.155796,1000,2019-08-02 17:39:12+00:00,151475
LTE,736,3,Tigo,47461,20499974,-17.389373,-66.155369,3027,2019-08-09 13:13:52+00:00,151474
LTE,736,3,Tigo,47461,20548870,-17.389404,-66.174356,8374,2019-07-14 21:30:38+00:00,151473
LTE,736,3,Tigo,47461,20552197,-17.389791,-66.150787,8898,2019-04-28 09:55:29+00:00,151472
LTE,736,3,Tigo,47461,20519941,-17.38229,-66.164688,7231,2019-04-28 09:55:13+00:00,151471
UMTS,736,3,Tigo,47461,20533766,-17.391593,-66.152727,1000,2019-05-15 11:39:46+00:00,151470
LTE,736,3,Tigo,47461,20486918,-17.392263,-66.161416,3248,2019-08-09 10:54:50+00:00,151469
LTE,736,3,Tigo,47461,20486917,-17.385926,-66.167588,6356,2019-07-14 21:31:36+00:00,151468
LTE,736,3,Tigo,47461,20508934,-17.394402,-66.154606,3788,2019-04-26 17:54:10+00:00,151467
LTE,736,3,Tigo,47461,20499973,-17.392677,-66.154938,1000,2019-04-26 20:18:52+00:00,151466
LTE,736,3,Tigo,47461,20491782,-17.389927,-66.157742,7116,2019-07-28 16:34:18+00:00,151465
LTE,736,3,Tigo,47461,20517892,-17.394056,-66.156546,1876,2019-06-07 22:54:59+00:00,151464
UMTS,736,3,Tigo,37801,7248111,-17.380266,-66.163135,5894,2019-06-05 19:40:00+00:00,151463
LTE,736,3,Tigo,47461,20481286,-17.393325,-66.154686,7594,2019-05-30 19:52:32+00:00,151462
LTE,736,3,Tigo,47461,20499717,-17.385151,-66.159903,5298,2019-05-17 16:31:22+00:00,151461
LTE,736,3,Tigo,47461,20521222,-17.389972,-66.155703,1797,2019-05-30 17:48:49+00:00,151460
LTE,736,3,Tigo,47461,20508933,-17.385897,-66.157356,4054,2019-06-18 12:22:32+00:00,151459
LTE,736,3,Tigo,47451,20512004,-17.380847,-66.15921,6110,2019-06-07 22:55:50+00:00,151458
UMTS,736,3,Tigo,47451,20506886,-17.384865,-66.159561,6505,2019-06-07 20:05:18+00:00,151457
LTE,736,3,Tigo,47461,20480773,-17.389294,-66.157736,2037,2019-06-27 22:31:41+00:00,151456
LTE,736,3,Tigo,37801,7263165,-17.388995,-66.156299,2994,2019-06-07 11:09:12+00:00,151455
UMTS,736,2,Entel,43401,13792480,-17.395025,-66.14917,1000,2017-09-27 18:30:03+00:00,151454
UMTS,736,2,Entel,43401,13799407,-17.394674,-66.145119,1000,2017-09-27 16:38:26+00:00,151453
UMTS,736,1,Viva,1210,13258824,-17.38793,-66.155693,1000,2017-09-27 11:05:46+00:00,151452
UMTS,736,2,Entel,43401,13799409,-17.394888,-66.149147,1000,2017-09-22 23:40:59+00:00,151451
UMTS,736,1,Viva,1210,3074818,-17.393629,-66.159271,1000,2017-09-23 14:07:58+00:00,151450
LTE,736,2,Entel,44401,10262532,-17.388738,-66.141882,1000,2019-04-14 12:51:54+00:00,151449
LTE,736,1,Viva,21000,3110401,-17.393417,-66.162452,1000,2017-09-23 12:28:19+00:00,151448
LTE,736,2,Entel,44401,10259972,-17.394585,-66.148144,1000,2017-09-23 00:31:04+00:00,151447
LTE,736,1,Viva,21000,3100162,-17.393629,-66.159271,1000,2017-09-23 18:01:50+00:00,151446
UMTS,736,2,Entel,43401,13796014,-17.383818,-66.146759,1000,2017-09-25 22:37:08+00:00,151445
LTE,736,1,Viva,21000,3090435,-17.378094,-66.168655,1000,2017-09-23 15:29:31+00:00,151444
UMTS,736,3,Tigo,65534,20508934,-17.394257,-66.156013,1000,2017-09-22 21:07:17+00:00,151443
GSM,736,2,Entel,40401,31407,-17.393768,-66.143196,1000,2017-09-22 16:43:14+00:00,151442
LTE,736,1,Viva,21000,3109890,-17.38706,-66.158813,1000,2017-09-20 23:47:21+00:00,151441
LTE,736,1,Viva,21000,3088898,-17.38706,-66.158813,1000,2017-09-20 23:44:52+00:00,151440
UMTS,736,2,Entel,43401,13799327,-17.393076,-66.159927,1000,2017-09-21 16:55:46+00:00,151439
UMTS,736,1,Viva,1210,3078402,-17.377689,-66.155121,1000,2017-09-26 16:06:30+00:00,151438
LTE,736,3,Tigo,27460,20481025,-17.377564,-66.167843,1000,2017-09-21 13:54:23+00:00,151437
UMTS,736,2,Entel,43401,13795145,-17.390078,-66.158073,1000,2017-09-18 23:29:43+00:00,151436
UMTS,736,2,Entel,43401,13795136,-17.381596,-66.164021,1893,2017-09-24 21:36:00+00:00,151435
LTE,736,2,Entel,44401,10277124,-17.376694,-66.162264,2211,2019-04-15 11:46:09+00:00,151434
LTE,736,1,Viva,21000,3088897,-17.383929,-66.157112,1000,2017-09-27 11:32:47+00:00,151433
UMTS,736,3,Tigo,17800,5287005,-17.388859,-66.155284,4076,2017-09-24 06:26:12+00:00,151432
UMTS,736,1,Viva,1210,13264373,-17.393318,-66.154572,1000,2017-09-16 23:47:42+00:00,151431
UMTS,736,1,Viva,1202,13198709,-17.379795,-66.141884,1000,2017-09-14 17:19:06+00:00,151430
UMTS,736,1,Viva,1210,13259960,-17.378765,-66.162247,1000,2017-09-15 00:36:06+00:00,151429
UMTS,736,1,Viva,1210,13264960,-17.387556,-66.160965,1000,2017-09-14 23:00:44+00:00,151428
UMTS,736,1,Viva,1210,13264157,-17.379845,-66.141747,1000,2017-09-14 14:53:51+00:00,151427
UMTS,736,2,Entel,21000,3074818,-17.391714,-66.156143,1000,2017-09-13 23:03:32+00:00,151426
UMTS,736,2,Entel,21000,3083265,-17.3822,-66.159786,1000,2017-09-14 02:25:55+00:00,151425
UMTS,736,2,Entel,21000,3083266,-17.384069,-66.158116,1000,2017-09-14 02:00:59+00:00,151424
UMTS,736,2,Entel,21000,3088898,-17.387529,-66.158012,1000,2017-09-14 02:30:27+00:00,151423
UMTS,736,3,Tigo,17800,330430,-17.378027,-66.158447,1000,2017-09-13 18:17:12+00:00,151422
UMTS,736,2,Entel,21000,3074817,-17.391527,-66.159561,1000,2017-09-14 02:33:29+00:00,151421
UMTS,736,2,Entel,21000,3088899,-17.382761,-66.160851,1000,2017-09-14 02:26:14+00:00,151420
UMTS,736,2,Entel,21000,3100163,-17.38942,-66.159454,1000,2017-09-13 23:06:35+00:00,151419
LTE,736,1,Viva,21000,3104001,-17.394127,-66.148865,1000,2017-09-24 11:22:27+00:00,151418
LTE,736,1,Viva,21000,3079426,-17.382291,-66.149903,1000,2017-09-20 22:37:24+00:00,151417
UMTS,736,2,Entel,43401,13787200,-17.389308,-66.156043,1190,2017-09-13 14:50:58+00:00,151416
UMTS,736,1,Viva,1211,13325613,-17.386973,-66.168619,1736,2017-05-15 13:41:46+00:00,151415
UMTS,736,1,Viva,1210,13264463,-17.377395,-66.147789,1000,2017-05-14 18:44:01+00:00,151414
LTE,736,2,Entel,44401,10266630,-17.380984,-66.145403,1000,2019-03-22 19:03:31+00:00,151413
UMTS,736,3,Tigo,17800,5271959,-17.385693,-66.148834,1000,2017-05-15 13:07:58+00:00,151412
UMTS,736,1,Viva,1201,13199057,-17.390166,-66.153204,2969,2017-05-14 19:22:27+00:00,151411
LTE,736,1,Viva,21000,3074817,-17.392349,-66.157936,1000,2017-05-13 18:12:12+00:00,151410
UMTS,736,3,Tigo,17800,5281165,-17.378156,-66.162898,1000,2017-05-15 13:33:38+00:00,151409
UMTS,736,2,Entel,17461,14079,-17.383909,-66.150261,1000,2017-05-13 19:54:23+00:00,151408
LTE,736,3,Tigo,27460,20487686,-17.388469,-66.176087,1000,2017-05-13 13:10:55+00:00,151407
UMTS,736,1,Viva,1210,13264380,-17.387626,-66.155396,1000,2017-09-18 23:30:18+00:00,151406
UMTS,736,2,Entel,43401,13787330,-17.380592,-66.1521,1000,2017-05-12 22:14:22+00:00,151405
LTE,736,1,Viva,65534,3074817,-17.389919,-66.159561,1000,2017-05-13 01:36:32+00:00,151404
GSM,736,1,Viva,1210,20281,-17.386921,-66.158232,1000,2017-05-12 23:52:44+00:00,151403
LTE,736,1,Viva,21000,3077377,-17.389532,-66.147537,1000,2017-05-13 17:36:23+00:00,151402
GSM,736,1,Viva,17461,14027,-17.378527,-66.163093,1000,2017-05-14 16:34:21+00:00,151401
LTE,736,3,Tigo,27461,20521476,-17.387524,-66.148773,1000,2017-05-09 12:25:20+00:00,151400
LTE,736,1,Viva,21000,3100161,-17.393616,-66.154333,1000,2017-09-22 15:37:48+00:00,151399
LTE,736,1,Viva,21000,3086339,-17.387259,-66.168362,2252,2017-09-23 18:12:01+00:00,151398
LTE,736,2,Entel,44401,10259206,-17.391808,-66.153708,1000,2019-04-12 17:54:00+00:00,151397
UMTS,736,1,Viva,17461,34008,-17.379347,-66.156914,1000,2017-05-07 20:54:19+00:00,151396
LTE,736,1,Viva,21000,3124227,-17.382269,-66.151052,1174,2017-09-26 22:14:53+00:00,151395
