latitud,longitud,pot,usuario,fecha,test_name,observacion,operador,rssi,marca,imsi,modelo,id
-17.395163,-66.155291,-53,andy2662,2021-10-17 12:20:49.627000+00:00,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,667
-17.395015,-66.155074,-54,andy2662,2021-10-17 12:20:40.623000+00:00,Centro Prueba 1,Ninguna,Entel,24,ZTE CORPORATION,736023035923079,MF193A,666
-17.394893,-66.155163,-60,andy2662,2021-10-17 12:20:15.622000+00:00,Centro Prueba 1,Ninguna,Entel,25,ZTE CORPORATION,736023035923079,MF193A,665
-17.394487,-66.155228,-62,andy2662,2021-10-17 12:20:05.629000+00:00,Centro Prueba 1,Ninguna,Entel,24,ZTE CORPORATION,736023035923079,MF193A,664
-17.394304,-66.155225,-53,andy2662,2021-10-17 12:19:56.625000+00:00,Centro Prueba 1,Ninguna,Entel,24,ZTE CORPORATION,736023035923079,MF193A,663
-17.393985,-66.155237,-54,andy2662,2021-10-17 12:19:47.620000+00:00,Centro Prueba 1,Ninguna,Entel,24,ZTE CORPORATION,736023035923079,MF193A,662
-17.393599,-66.155269,-57,andy2662,2021-10-17 12:19:38.621000+00:00,Centro Prueba 1,Ninguna,Entel,23,ZTE CORPORATION,736023035923079,MF193A,661
-17.392873,-66.155417,-61,andy2662,2021-10-17 12:19:29.157000+00:00,Centro Prueba 1,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,660
-17.392242,-66.155637,-69,andy2662,2021-10-17 12:19:00.620000+00:00,Centro Prueba 1,Ninguna,Entel,23,ZTE CORPORATION,736023035923079,MF193A,659
-17.392389,-66.156314,-55,andy2662,2021-10-17 12:18:48.614000+00:00,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,658
-17.392719,-66.156916,-56,andy2662,2021-10-17 12:18:38.603000+00:00,Centro Prueba 1,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,657
-17.39279,-66.156566,-59,andy2662,2021-10-17 12:18:11.573000+00:00,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,656
-17.393225,-66.156499,-53,andy2662,2021-10-17 12:18:01.572000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,655
-17.393167,-66.156383,-50,andy2662,2021-10-17 12:17:49.579000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,654
-17.393078,-66.156003,-41,andy2662,2021-10-17 12:17:39.581000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,653
-17.393012,-66.155766,-52,andy2662,2021-10-17 12:17:29.582000+00:00,Centro Prueba 1,Ninguna,Entel,31,ZTE CORPORATION,736023035923079,MF193A,652
-17.392925,-66.15537,-56,andy2662,2021-10-17 12:17:18.589000+00:00,Centro Prueba 1,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,651
-17.393019,-66.155226,-53,andy2662,2021-10-17 12:16:47.593000+00:00,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,650
-17.392848,-66.154393,-60,andy2662,2021-10-17 12:16:37.168000+00:00,Centro Prueba 1,Ninguna,Entel,25,ZTE CORPORATION,736023035923079,MF193A,649
-17.392758,-66.154012,-60,andy2662,2021-10-17 12:16:00.150000+00:00,Centro Prueba 1,Ninguna,Entel,23,ZTE CORPORATION,736023035923079,MF193A,648
-17.392744,-66.158861,-43,andy2662,2021-10-17 11:54:19.626000+00:00,Centro Prueba 1,Ninguna,Entel,20,ZTE CORPORATION,736023035923079,MF193A,647
-17.395925,-66.156088,-64,andy2662,2021-10-17 11:52:14.092000+00:00,Centro Prueba 1,Ninguna,Entel,20,ZTE CORPORATION,736023035923079,MF193A,646
-17.396331,-66.156108,-55,andy2662,2021-10-17 11:52:02.625000+00:00,Centro Prueba 1,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,645
-17.396179,-66.156981,-50,andy2662,2021-10-17 11:51:35.639000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,644
-17.395695,-66.157088,-50,andy2662,2021-10-17 11:51:25.638000+00:00,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,643
-17.395354,-66.157196,-57,andy2662,2021-10-17 11:51:16.630000+00:00,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,642
-17.395183,-66.157274,-56,andy2662,2021-10-17 11:50:56.625000+00:00,Centro Prueba 1,Ninguna,Entel,25,ZTE CORPORATION,736023035923079,MF193A,641
-17.394717,-66.157299,-57,andy2662,2021-10-17 11:50:47.630000+00:00,Centro Prueba 1,Ninguna,Entel,29,ZTE CORPORATION,736023035923079,MF193A,640
-17.394282,-66.157439,-50,andy2662,2021-10-17 11:50:35.632000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,639
-17.394021,-66.157531,-50,andy2662,2021-10-17 11:50:16.635000+00:00,Centro Prueba 1,Ninguna,Entel,31,ZTE CORPORATION,736023035923079,MF193A,638
-17.393569,-66.157577,-44,andy2662,2021-10-17 11:50:06.626000+00:00,Centro Prueba 1,Ninguna,Entel,29,ZTE CORPORATION,736023035923079,MF193A,637
-17.393293,-66.157665,-52,andy2662,2021-10-17 11:49:57.635000+00:00,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,636
-17.392736,-66.157815,-57,andy2662,2021-10-17 11:49:45.639000+00:00,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,635
-17.392498,-66.158079,-53,andy2662,2021-10-17 11:49:33.639000+00:00,Centro Prueba 1,Ninguna,Entel,27,ZTE CORPORATION,736023035923079,MF193A,634
-17.392584,-66.158641,-55,andy2662,2021-10-17 11:49:25.225000+00:00,Centro Prueba 1,Ninguna,Entel,28,ZTE CORPORATION,736023035923079,MF193A,633
-17.392839,-66.158746,-53,andy2662,2021-10-17 11:49:08.652000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,632
-17.393077,-66.15875,-53,andy2662,2021-10-17 11:48:33.692000+00:00,Centro Prueba 1,Ninguna,Entel,26,ZTE CORPORATION,736023035923079,MF193A,631
-17.393441,-66.158668,-53,andy2662,2021-10-17 11:48:24.651000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,630
-17.393836,-66.15863,-46,andy2662,2021-10-17 11:48:14.653000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,629
-17.393957,-66.158609,-49,andy2662,2021-10-17 11:47:59.658000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,628
-17.394392,-66.158493,-51,andy2662,2021-10-17 11:47:46.666000+00:00,Centro Prueba 1,Ninguna,Entel,30,ZTE CORPORATION,736023035923079,MF193A,627
-17.394763,-66.158389,-47,andy2662,2021-10-17 11:47:37.677000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,626
-17.394892,-66.158359,-49,andy2662,2021-10-17 11:47:28.672000+00:00,Centro Prueba 1,Ninguna,Entel,32,ZTE CORPORATION,736023035923079,MF193A,625
