radio,mcc,operador,lac,cell_id,unit,longitude,latitude,range,samples,changeable,created,updated,averageSignal
LTE,736,1,10102,2843138,0,-68.174286,-16.495972,1000,2,1,1458598164,1462376116,0
LTE,736,1,255,3380225,0,-63.194046020508,-17.809524536133,1000,1,1,1439834177,1439834177,0
LTE,736,1,255,3358977,0,-63.189926147461,-17.750473022461,1000,1,1,1441375677,1441375677,0
LTE,736,1,255,3356929,0,-63.174819946289,-17.83561706543,1000,1,1,1440176014,1440176014,0
LTE,736,1,10102,2835457,0,-68.187332,-16.469068,1000,11,1,1458598164,1462376116,0
LTE,736,1,10100,2829057,0,-68.124160766602,-16.503524780273,1000,2,1,1458598164,1459711564,0
LTE,736,1,10102,2849538,0,-68.188705,-16.536255,1000,6,1,1458598164,1489584432,0
LTE,736,1,21000,3074562,0,-66.172522,-17.387865,1000,8,1,1458598165,1505947599,0
LTE,736,1,10100,2823681,0,-68.137207,-16.504211,1000,2,1,1458598164,1459536464,0
LTE,736,1,10100,2819073,0,-68.142014,-16.492538,1000,6,1,1458598164,1477487203,0
LTE,736,1,10102,2876418,0,-68.180465698242,-16.481552124023,1000,1,1,1457461337,1457461337,0
LTE,736,1,10100,2819843,0,-68.142929,-16.497116,1000,3,1,1458598164,1465744264,0
LTE,736,1,10100,2856962,0,-68.163986206055,-16.492538452148,1000,1,1,1457461337,1457461337,0
LTE,736,1,10102,2867969,0,-68.16536,-16.515884,1000,3,1,1458598164,1477737444,0
LTE,736,1,10102,2875907,0,-68.161239624023,-16.511764526367,1000,1,1,1442045935,1442045935,0
LTE,736,1,10102,2849281,0,-68.159866333008,-16.462326049805,1000,1,1,1449079136,1449079136,0
LTE,736,1,10103,2821121,0,-68.118668,-16.500626,1000,9,1,1458598164,1478272691,0
LTE,736,1,10101,2844163,0,-68.120499,-16.522751,1000,6,1,1458598164,1483342716,0
LTE,736,1,10100,2859009,0,-68.132151,-16.50315,1000,22,1,1458598164,1478642031,0
LTE,736,1,10100,2859011,0,-68.13652,-16.509476,1000,3,1,1458598164,1477154349,0
LTE,736,1,10102,2869761,0,-68.196945,-16.539917,1000,2,1,1458598164,1474882173,0
LTE,736,1,255,3334658,0,-63.13362121582,-17.819137573242,1000,1,1,1441375677,1441375677,0
LTE,736,1,255,3355394,0,-63.14323425293,-17.739486694336,1000,1,1,1439807663,1439807663,0
LTE,736,1,255,3371778,0,-63.154220581055,-17.757339477539,1000,1,1,1439807663,1439807663,0
LTE,736,1,255,3344898,0,-63.17756652832,-17.764205932617,1000,1,1,1441375677,1441375677,0
LTE,736,1,255,3087106,0,-66.168594360352,-17.371444702148,1000,1,1,1439807656,1439807656,0
LTE,736,1,255,3077889,0,-66.168594360352,-17.370071411133,1000,1,1,1439807656,1439807656,0
LTE,736,1,10101,2880515,0,-68.137894,-16.533279,1000,3,1,1458598164,1461775811,0
LTE,736,1,10102,2817283,0,-68.197632,-16.492538,1000,2,1,1458598164,1475391726,0
